linha;grupo;subgrupo;tipo_mercadoria;fabricante
Hidrologia;Sonda Serie Pro;Produto;Pro Plus;Clean
Hidrologia;Sonda Serie Pro;Produto;Pro Plus;YSI
Hidrologia;Sonda Serie Pro;Produto;Pro Quattro;
Hidrologia;Sonda Serie Pro;Produto;Pro Quattro;YSI
Hidrologia;Sonda Serie Pro;Produto;Software;YSI
Hidrologia;Sonda Serie ProDigital;Produto;PRODO;Clean
Hidrologia;Sonda Serie ProDigital;Produto;PRODO;YSI
Hidrologia;Sonda Serie ProDigital;Produto;ProDss;
Hidrologia;Sonda Serie ProDigital;Produto;ProDss;Clean
Hidrologia;Sonda Serie ProDigital;Produto;ProDss;YSI
Hidrologia;Sonda Serie ProDigital;Produto;PROSOLO;Clean
Hidrologia;Sonda Serie ProDigital;Produto;PROSOLO;YSI
Hidrologia;Sonda Serie ProDigital;Produto;PROSWAP;YSI
Hidrologia;Sonda Serie TruLab;Produto;TruLab;YSI
Hidrologia;Telemetria Fixo;Produto;Acessório;
Hidrologia;Telemetria Fixo;Produto;Acessório;Clean
Hidrologia;Telemetria Fixo;Produto;Acessório;SON
Hidrologia;Telemetria Fixo;Produto;Acessório;YSI
Hidrologia;Telemetria Fixo;Reposição;Cabo;Campbell
Hidrologia;Telemetria Fixo;Produto;DataLogger;
Hidrologia;Telemetria Fixo;Produto;DataLogger;Campbell
Hidrologia;Telemetria Fixo;Produto;DataLogger;Clean
Hidrologia;Telemetria Fixo;Produto;DataLogger;ISCO
Hidrologia;Telemetria Fixo;Produto;Estação;Oceanalpha
Hidrologia;Telemetria Fixo;Produto;Estrutura;Clean
Hidrologia;Telemetria Fixo;Produto;Moden;Campbell
Hidrologia;Telemetria Fixo;Produto;Moden;Clean
Hidrologia;Telemetria Fixo;Produto;Moden;YSI
Hidrologia;Telemetria Fixo;Produto;Painel;Clean
Hidrologia;Telemetria Fixo;Produto;Sensor;Campbell
Hidrologia;Telemetria Fixo;Produto;Sensor;ISCO
Hidrologia;Telemetria Fixo;Produto;Sistema;Clean
Hidrologia;Telemetria Fixo;Produto;Sistema;ISCO
Hidrologia;Telemetria Fixo;Produto;Transdutor;Campbell
Hidrologia;Transmissão Fixo;Produto;Sistema;Clean
Hidrologia;UMR Fixo;Produto;Instalação;Clean
Inativo;Inativo Inativo;Inativo;Inativo;Inativo
Locação;Locação Diversos;Serviço;Locação;Clean
Remediação;Absorvedores;Insumo;Absorvedores ;
Remediação;Absorvedores;Reposição;Manta OWS;
Remediação;Amostragem Diversos;Produto;Acessório;Clean
Remediação;Amostragem Diversos;Produto;Acessório;EON
Remediação;Amostragem Diversos;Produto;Acessório;JCT
Remediação;Amostragem Diversos;Produto;Acessório;QED
Remediação;Amostragem Diversos;Produto;Amostrador;Clean
Remediação;Amostragem Diversos;Produto;Amostrador;EN NOVATIVE
Remediação;Amostragem Diversos;Produto;Amostrador;environics
Remediação;Amostragem Diversos;Produto;Amostrador;EON
Remediação;Amostragem Diversos;Produto;Amostrador;JCT
Remediação;Amostragem Diversos;Produto;Amostrador;QED
Remediação;Amostragem Diversos;Produto;Analisador;JCT
Remediação;Amostragem Diversos;Produto;Bomba;JCT
Remediação;Amostragem Diversos;Insumo;Filtro;Clean
Remediação;Amostragem Diversos;Insumo;Filtro;JCT
Remediação;Amostragem Diversos;Insumo;Filtro;QED
Remediação;Amostragem Diversos;Produto;Sensor;JCT
Remediação;Amostragem Diversos;Produto;SHAKETEST;Clean
Remediação;Amostragem Diversos;Produto;Sistema;AGT
Remediação;Amostragem Diversos;Produto;Sistema;Clean
Remediação;Amostragem Diversos;Produto;TadLar Bag;ESS
Remediação;Analisador Diversos;Produto;Acessório;
Remediação;Analisador Diversos;Produto;Acessório;SON
Remediação;Analisador Diversos;Reposição;Acessório;
Remediação;Analisador Diversos;Reposição;Acessório;CASELLA
Remediação;Analisador Diversos;Reposição;Acessório;Clean
Remediação;Analisador Diversos;Reposição;Acessório;EDINBURG
Remediação;Analisador Diversos;Reposição;Acessório;GRACO
Remediação;Analisador Diversos;Reposição;Acessório;HON
Remediação;Analisador Diversos;Reposição;Acessório;QED
Remediação;Analisador Diversos;Reposição;Acessório;Thermo
Remediação;Analisador Diversos;Reposição;Anel;QED
