tipo_meta;linha;grupo;subgrupo;tipo_mercadoria;referencia_media_ponderada_pct;meta_rentabilidade_alvo_pct
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI5000;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI5100;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI55;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI60;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI85;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie MultiLab;MULTILAB;Produto;0.349020087;0.359020087
rentabilidade;Hidrologia;Sonda Serie ODO-RTU;Sonda RTU;Produto;0.307509696;0.317509696
rentabilidade;Hidrologia;Sonda Serie Pro;Clean Cell Pro;Produto;0.7361;0.7461
rentabilidade;Hidrologia;Sonda Serie Pro;Maleta;Produto;0.2814;0.2914
rentabilidade;Hidrologia;Sonda Serie Pro;PRO10;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;PRO1020;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;PRO1030;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;PRO20;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;PRO2030;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;PRO30;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;Pro Plus;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Pro;Pro Quattro;Produto;0.316807682;0.326807682
rentabilidade;Hidrologia;Sonda Serie Pro;Software;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie ProDigital;PRODO;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie ProDigital;ProDss;Produto;0.18297812;0.19297812
rentabilidade;Hidrologia;Sonda Serie ProDigital;PROSOLO;Produto;0.277797738;0.287797738
rentabilidade;Hidrologia;Sonda Serie ProDigital;PROSWAP;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie TruLab;TruLab;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Acessório;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Cabo;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;DataLogger;Produto;0.507284759;0.517284759
rentabilidade;Hidrologia;Telemetria Fixo;Estação;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Estrutura;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Moden;Produto;0.7962;0.8062
rentabilidade;Hidrologia;Telemetria Fixo;Painel;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Sensor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Sistema;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Telemetria Fixo;Transdutor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Transmissão Fixo;Sistema;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;UMR Fixo;Instalação;Produto;0.357313616;0.367313616
rentabilidade;Inativo;Inativo Inativo;Inativo;Inativo;0.6041;0.6141
rentabilidade;Locação;Locação Diversos;Locação;Serviço;0.2;0.21
rentabilidade;Remediação;Absorvedores;Absorvedores ;Insumo;0.344;0.354
rentabilidade;Remediação;Absorvedores;Manta OWS;Reposição;0.344;0.354
rentabilidade;Remediação;Amostragem Diversos;Acessório;Produto;0.344;0.354
rentabilidade;Remediação;Amostragem Diversos;Amostrador;Produto;0.3655;0.3755
rentabilidade;Remediação;Amostragem Diversos;Analisador;Produto;0.344;0.354
rentabilidade;Remediação;Amostragem Diversos;Bomba;Produto;0.344;0.354
rentabilidade;Remediação;Amostragem Diversos;Filtro;Insumo;0.045512158;0.055512158
rentabilidade;Remediação;Amostragem Diversos;Sensor;Produto;0.344;0.354
rentabilidade;Remediação;Amostragem Diversos;SHAKETEST;Produto;0.3622;0.3722
rentabilidade;Remediação;Amostragem Diversos;Sistema;Produto;0.344;0.354
rentabilidade;Remediação;Amostragem Diversos;TadLar Bag;Produto;0.198029953;0.208029953
rentabilidade;Remediação;Analisador Diversos;Acessório;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Diversos;Acessório;Reposição;0.393127302;0.403127302
rentabilidade;Remediação;Analisador Diversos;Anel;Reposição;0.344;0.354
rentabilidade;Remediação;Analisador Diversos;Cabo;Reposição;0.414;0.424
rentabilidade;Remediação;Analisador Diversos;Filtro;Insumo;0.382129049;0.392129049
rentabilidade;Remediação;Analisador Diversos;Sensor;Reposição;0.385763378;0.395763378
rentabilidade;Remediação;Analisador Fixo;Acessório;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;Biogas;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;GT;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;INNOVA;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;Midas;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;Painel de Controle;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;Sistema;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Fixo;TVOC;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Portátil;Acessório;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Portátil;Estação;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Portátil;G100;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Portátil;GASCARD;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Portátil;Gascheck;Produto;0.344;0.354
rentabilidade;Remediação;Analisador Portátil;GEM;Produto;0.307212785;0.317212785
rentabilidade;Remediação;Analisador Portátil;Guardian;Produto;0.344;0.354
